Súlyosság,Dimenzió,Asset ID,Probléma,Javasolt javítás
blokkoló,Akadálymentesség (WCAG 2.2),M7.2-NAR-05,"A 60-90 mp-es SLIDE 5 INPUT 4 narráció a11y-jegyzete kötelező feliratot+leiratot ír elő, de a regiszterben nincs hozzá tartozó FEL/LEI asset.",[✅ PÓTOLVA: M7.2-FEL-06 + M7.2-LEI-06 hozzáadva.] Hozz létre felirat (FEL) és leirat (LEI) assetet a SLIDE 5 narrációhoz.
blokkoló,Produkciós megvalósíthatóság & alulspecifikáltság,M6.3-FOTO-01,"A provenance eldöntetlen: 'vegyes (fotó vagy illusztráció lehet; ha gyerek felismerhető, dokumentált GDPR-hozzájárulás kötelező)'. A fotó vs. illusztráció elágazás teljesen különböző gyártási útvonal, költség és jogi (GDPR/kiskorú) kockázat — amíg ez nem dől el, az asset nem gyártható le és nem batch-elhető a többi M6.3 vizuállal.","[✅ DÖNTVE (emberi): illusztráció — az egész M6.3-FOTO szériát (FOTO-01..05) illusztrációként gyártjuk; GDPR/kiskorú-kockázat megszűnt. A regiszterben FOTO→illusztráció típusra váltva, provenance=AI-generált.] Dönts a fotó vs. illusztráció kérdésben az egész M6.3 FOTO-szettre (FOTO-01..05) egységesen; ha fotó: GDPR-hozzájárulási folyamat és kiskorú szülői beleegyezés ELŐRE; ha illusztráció: közös illusztrációs stílus-token + batch."
blokkoló,Produkciós megvalósíthatóság & alulspecifikáltság,M6.3-FOTO-02,"Ugyanaz az eldöntetlen fotó/illusztráció + GDPR-elágazás, mint M6.3-FOTO-01. Az M6.3-FOTO-01/02 ráadásul egy kontraszt-pár (unott színezés vs. közös plakát), amelyeknek vizuálisan PÁRBAN kell konzisztensnek lenniük (ugyanaz a korosztály, stílus) — ez csak akkor garantálható, ha a modalitás és stílus előre fixált.","[✅ DÖNTVE (emberi): illusztráció — az egész M6.3-FOTO szériát (FOTO-01..05) illusztrációként gyártjuk; GDPR/kiskorú-kockázat megszűnt. A regiszterben FOTO→illusztráció típusra váltva, provenance=AI-generált.] Kezeld FOTO-01/02-t kötelező párként (azonos modalitás, korosztály, stílus, beállítás); a fotó/illusztráció döntést erre a párra (és az egész M6.3 szériára) egyszerre hozd meg."
fontos,"AI-jelölés & jogtisztaság (EU AI Act 50. cikk, IP)",M0.4-IKO-01,"Védjegy/arculati IP-kockázat: a spec konkrét, márkanevesített platformok vizuális nyelvét kéri ('Messenger/WhatsApp/Discord jellegű buborék', 'insta-sztori/DM', 'Moodle/tanulási platform'). Ha az AI-generált ikon felismerhetően reprodukál egy védjegyet/logót/jellegzetes UI-t, az védjegy- és arculati jogokat sérthet. Ugyanez a kockázat: M0.4-ILL-01 (telefon a négy platform-felülettel), M0.4-ILL-02 (insta-sztori, Moodle-komment jelenetek), M2.4-ILL-01/-02 (Messenger chat-buborékok).","[R4 ✅ — Produkciós konvenció: Védjegy-semlegesség.] Az ikonokat/illusztrációkat generikus, nem-védjegyzett stílusban készítsd (semleges chat-buborék, semleges sztori-kör, semleges LMS-felület), kerülve a felismerhető logókat, márkaszíneket és jellegzetes UI-elemeket. A spec 'X-jellegű' megfogalmazásait írd át márkasemlegesre."
fontos,"AI-jelölés & jogtisztaság (EU AI Act 50. cikk, IP)",M1.1-VID-01,"IP/likeness-kockázat: AI-generált emberi arc + hang (avatar) kereskedelmi/oktatási terjesztésre. A regiszter sehol nem dokumentál avatar-licencet, voice-talent release-t vagy a generátor szolgáltatási feltételeinek (ToS) kereskedelmi-felhasználási megfelelőségét. Ha az avatar/hang valós személyre hasonlít vagy klónozott hang, jogi (személyiségi jogi / voice-clone) kockázat áll fenn. Érinti az összes AI-avataros videót és AI/voice-clone narrációt.","[R2 ✅ — Produkciós konvenció: AI-avatar / AI-hang IP-megfelelőség.] Vegyél fel minden AI-avatar/AI-hang assethez egy IP-megfelelőségi mezőt: használt generátor neve, a kimenet kereskedelmi/oktatási felhasználását engedő licenc/ToS hivatkozás, és (klónozott hang esetén) a hangtulajdonos írásos hozzájárulása. Ahol stock-avatar, a stock-licenc azonosítója."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M0.3-FOTO-01,"Valós Moodle-screenshot 'a végleges Moodle-felület alapján' — ez függőség a még nem létező/nem véglegesített Moodle-kurzustól. Amíg a végleges felület nincs kész, az asset nem gyártható; a 'mobil-first arány' és 'kis kijelzőn olvasható felbontás' nincs konkrét px/arány-értékkel megadva.","[R7 ✅ — Produkciós konvenció: Produkciós függőségek.] Jelöld függőségként (gate: végleges Moodle-felület), és add meg a célzott felbontást/arányt; ütemezd a screenshot-gyártást a kurzus-véglegesítés UTÁNRA."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M1.1-NAR-01,"A narráció hossza (30–40 mp) és tartalma adott, de hangkarakter (nem, kor, tempó), TTS-motor vagy hangminta nincs megadva. A leckén belül a beszélőfej-videó (M1.1-VID-01) 'gender-neutrális/rotálható arc'-ot ír elő, de a NAR-nál nincs kötés, hogy a hangsáv ugyanazt a semleges/rotálható identitást kövesse — szinkronhang-inkonzisztencia kockázata.","[R3 ✅ — Produkciós konvenció: Narrátor hang-bible.] Rögzíts modul-szintű hang-bible-t: TTS-motor + voice-ID (vagy emberi felmondó), nem/kor/tempó/regiszter, és explicit kötés a VID avatarhoz. Ez a kötés egyszer megírva minden M1.x NAR-ra érvényes."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M1.1-VID-01,"A beszélőfej-videó 'gender-neutrális/rotálható arc'-ot kér (408. sor), de nincs definiálva, mit jelent a 'rotálható' produkciósan (hány arc, milyen rotációs logika), és a 'someres/mozgalmi színek' nem kapnak konkrét palettát (hex). A 'finom someres színek' szubjektív, nem legyártható spec.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Definiáld a rotálható avatar-szettet (db szám + rotációs szabály) és add meg a someres paletta konkrét hex-értékeit egy modul- vagy program-szintű brand-token listában, amire minden VID hivatkozik."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M1.1-VID-02,"B-roll vágóanyag 'kvuca-szituk, tábortűz/éneklés' tartalommal, de teljesen alulspecifikált: nincs jelenetlista, klipp-darabszám, pontos hossz jelenetenként, és a vizuális stílus (élőszereplős vs. animált vs. AI-generált karakter) nem dől el. 'Mini storyboard' említve, de a storyboard maga nem létezik assetként.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Készíts jelenetenkénti shot-listát (klipp-szám, hossz, tartalom, stílus), vagy jelöld explicit külön legyártandó storyboard-asszetnek. Döntsd el a vizuális modalitást (AI-karakter vs. stock)."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M1.3-IKO-01,"Az SBI szín-ikonkészlet (S=kék óra+pin, B=zöld szem/fül, I=narancs szív/hullám) a teljes leckén és a peulákon átível ÉS identikus az M1.4-IKO-01 készlettel — ez egyetlen batch, de a két assetId külön gyártást sugall. A 'kék/zöld/narancs' nincs hex-kóddal rögzítve, így a két előfordulás színeltérése reális kockázat.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Vond össze M1.3-IKO-01 + M1.4-IKO-01 EGY batch-be (egyszer gyártandó, mindkét helyen újrahasznosított), és rögzítsd a 3 szín pontos hex-kódját + vonalstílust egy közös SBI-ikon-tokenben."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M1.3-VID-01,"H5P Interactive Video 'két madrich (A és B) beszélget', kb. 60–70 mp, két verzióval — de a két szereplő (A/B) vizuális identitása és a 'AI beszélő-jelenet' modalitás (két karakter egy jelenetben) alulspecifikált; a karakter-konzisztencia két verzió között kritikus (ugyanaz az A és B mindkét verzióban), és ez nincs produkciósan rögzítve. Az S/B/I ikon-overlay az M1.3-IKO-01 batch-re támaszkodik.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Definiáld A és B madrich referencia-karaktereit (karakter-lock mindkét verzióra), és kösd az ikon-overlay-t az M1.3-IKO-01 közös ikon-batch-hez."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M3.2-IKO-01,"A 4 kvuca-ikon (Parparim/pillangó, Kivsza/bárány, Leviatan/bálna, Zorea/csíra) végigmegy az M3.2 leckén, ÉS ugyanez a 4 piktogram megjelenik M7.4-IKO-01-ben (kor-címkékkel) — batch-elhető közös készlet. A 'egységes színkód' nincs konkretizálva (mely kvuca milyen szín, hex), és a stílus (emoji-szerű vs. egyedi line-ikon) eldöntetlen.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Hozz létre egy közös 4-kvuca ikon-batch-et M3.2 + M7.4 (és M3.A-KART, M3.B kvuca-kártyák) számára, rögzített kvuca→szín hozzárendeléssel és konkrét stílus-tokennel; egyszer gyártsd, többször használd."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M4.1-VID-03,"'AI-generált teljesalakos karakter-jelenetvideó (nem beszélő-fej)' 20–25 mp — ez más gyártási modalitás, mint a beszélőfej-videók, és a karakter-konzisztencia kritikus: az M4.1-VID-03/04/05 UGYANAZT a madrich-figurát mutatja három különböző testtartással, ÉS ebből vesznek freeze-frame-et a SLIDE 4 fotókhoz (M4.1-FOTO-01/02). A 'ugyanaz a madrich' karakter-lock nincs produkciósan specifikálva (seed, referencia-karakter), pedig a teljes jelenetsor és a belőle vett state képek koherenciája ezen áll.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Definiálj egy rögzített referencia-karaktert (karakter-sheet / seed) az M4.1-VID-03/04/05-höz, és kösd hozzá explicit a freeze-frame-eket (FOTO-01/02); gyártsd a hármat egyetlen karakter-locked batch-ben."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M4.1-VID-04,"Ugyanaz a teljesalakos AI-karakter-jelenet modalitás és karakter-konzisztencia-igény, mint VID-03. Külön assetId, de a 'ugyanaz a madrich' követelmény miatt nem gyártható függetlenül VID-03/05-től.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Gyártsd közös karakter-locked batch-ben VID-03/05-tel, azonos referencia-karakterrel."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M4.1-VID-05,Ugyanaz a teljesalakos AI-karakter modalitás; ebből is freeze-frame megy a SLIDE 4-re (FOTO forrása). Karakter-lock és freeze-frame kötés nincs produkciósan rögzítve.,"[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Közös karakter-locked batch VID-03/04-gyel; a freeze-frame-kivételt (FOTO-01/02) tervezd a videó-gyártás részeként, ne külön produkcióként."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M5.3-NAR-01,"Provenance eldöntetlen: 'AI-generált (TTS) vagy emberi-felvétel' — a gyártási útvonal (TTS-motor + voice-ID, vs. stúdiófelvétel + felmondó) nem dől el, ezzel a hossz/tartalom megvan, de a tényleges produkció nem indítható. Ez a 'vagy/vagy' provenance több M5 NAR-nál visszatér.","[R3 ✅ — Produkciós konvenció: Narrátor hang-bible.] Dönts modul-szinten az M5 narrációk gyártási útjáról (TTS vs. ember), és rögzítsd a konkrét motort/voice-ID-t vagy a felmondó-profilt; egységesítsd az összes M5.x NAR-ra a hang-konzisztencia miatt."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M6.3-FOTO-03,"Eldöntetlen fotó/illusztráció modalitás és GDPR-elágazás (mint FOTO-01/02). Az M6.3 öt FOTO-assetje (01–05) közös vizuális nyelvet igényel (someres kézműves jelenetek, 11–13 év), de nincs közös stílus-/modalitás-spec, ami batch-elhetővé tenné.","[✅ DÖNTVE (emberi): illusztráció — az egész M6.3-FOTO szériát (FOTO-01..05) illusztrációként gyártjuk; GDPR/kiskorú-kockázat megszűnt. A regiszterben FOTO→illusztráció típusra váltva, provenance=AI-generált.] Specifikáld az M6.3-FOTO-01..05-öt EGY szériaként közös modalitással, korosztállyal és (illusztráció esetén) stílus-tokennel; egy gyártási batch."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M6.3-FOTO-04,"Eldöntetlen fotó/illusztráció + GDPR, és nincs széria-szintű stílus-kötés a többi M6.3 FOTO-assethez. Önállóan alulspecifikált a legyártáshoz (modalitás nyitott).","[✅ DÖNTVE (emberi): illusztráció — az egész M6.3-FOTO szériát (FOTO-01..05) illusztrációként gyártjuk; GDPR/kiskorú-kockázat megszűnt. A regiszterben FOTO→illusztráció típusra váltva, provenance=AI-generált.] Vond be az M6.3-FOTO közös szériába egységes modalitással és stílussal."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M6.3-FOTO-05,"Eldöntetlen fotó/illusztráció + GDPR, nincs széria-stílus-kötés. A legyártáshoz hiányzik a modalitás-döntés.","[✅ DÖNTVE (emberi): illusztráció — az egész M6.3-FOTO szériát (FOTO-01..05) illusztrációként gyártjuk; GDPR/kiskorú-kockázat megszűnt. A regiszterben FOTO→illusztráció típusra váltva, provenance=AI-generált.] Vond be az M6.3-FOTO közös szériába; a kvuca-zászló jelenet stílusát a széria-tokenhez igazítsd."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M6.3-NAR-01,"Provenance 'AI-generált (szintetizált narráció) vagy emberi-felvétel (felmondás)' — eldöntetlen gyártási út. Az M6.3 hat narrációja (NAR-01..06) közös hangkaraktert igényel a lecke koherenciájához, de sem a TTS-motor/voice, sem a felmondó nincs fixálva.","[R3 ✅ — Produkciós konvenció: Narrátor hang-bible.] Egységes hang-döntés az M6.3 teljes NAR-sorozatára (egy voice mind a 6-hoz), konkrét motor/voice-ID vagy felmondó megnevezésével."
fontos,Produkciós megvalósíthatóság & alulspecifikáltság,M6.4-IKO-01,"9 visszatérő szekciójelölő ikon (Kvuca/Cél/Időkeret/Tér/Miért jó döntés/Miben rejt kockázatot/Hogyan inkluzívabbá/Mini-reflexió/Feladat), amely a teljes Branching Scenarión át strukturál — nagy batch, de a 'lapos-stílusú' és 'min. 64x64px' túl tág; nincs paletta, vonalvastagság, és a 'szín nem lehet az egyetlen információhordozó' követelmény forma-megkülönböztetési specifikációja hiányzik.","[R5 ✅ — Produkciós konvenció: Ikon- és karakter-batch + lock.] Rögzítsd a 9-ikonos batch közös stílus-tokenjét (paletta, vonalvastagság, forma-rendszer) úgy, hogy mind a 9 forma egyértelműen megkülönböztethető legyen szín nélkül is; egyetlen gyártási tételként kezeld."
fontos,Stílus- & hang-konzisztencia,M1.1-VID-01,"AI-provenance jelölés HIÁNYZIK az M0–M3 beszélőfej-videóknál, miközben az M4-től kezdve (M4.1-IKO-01) és az M5/M6/M7 modulokban kötelező provenance-asset szerepel. Az M1.1-VID-01, M1.2-VID-01, M1.3-VID-01, M2.1/M2.2/M2.3/M2.4-VID, M3.1/M3.2/M3.3/M3.4-VID assetekhez nincs hozzárendelt AI-jelölés-asset – etikai-átláthatósági inkonzisztencia a tananyag első felében.","[R1 ✅ — Produkciós konvenció: Egységes AI-jelölés.] Vegyél fel provenance-jelölés assetet (vagy modul-szintű előírást) az M0–M3 beszélőfej-videókhoz is, az egységes mintát követve."
fontos,Stílus- & hang-konzisztencia,M2.3-IKO-01,"Színkód-szemantika ütközés modulok között: az SBI-rendszer kék=S, zöld=B, narancs=I (M1.3-IKO-01, M1.4-IKO-01); az M2.3 pillérek kék=Cionizmus, piros=Szocializmus, zöld=Humanista zsidóság (M2.3-IKO-01); az M4.3 kérdéstípusok zöld=Nyitott, kék=Zárt, sárga=Tisztázó, piros=Irányító (M4.3-IKO-01). Ugyanaz a kék és zöld három különböző jelentést hordoz a tananyagon belül, ami megtöri a vizuális színnyelv konzisztenciáját.","[R6 ✅ — Produkciós konvenció: Szín-szótár.] Vezess egy tananyag-szintű szín-szótárat: ahol lehet, kerüld ugyanazon alapszínek eltérő szemantikai újrahasznosítását, vagy explicit jelöld, hogy a színkód mindig csak a saját lecke-kontextusában értelmezendő (és a szín soha ne legyen az egyetlen információhordozó – ez WCAG-ból amúgy is következik)."
fontos,Stílus- & hang-konzisztencia,M4.1-IKO-01,"AI-provenance jelölés stílus-inkonzisztencia: az M4.1-IKO-01 vizuális robot-badge-et ír elő a videó sarkában ('🤖 Ez a videó generatív AI-val készült'), az M5.1-EGY-01 / M6.1-EGY-01 szöveges sort ('AI-generált avatar, a szöveget ember írta és lektorálta' / 'A videók egy része AI-eszközzel készült'), az M7.2/M7.3/M7.4 videók pedig 'AI-generált avatar, narrációt madrich lektorálta' feliratot. Háromféle megfogalmazás és kétféle megjelenési forma (badge vs. szövegsor) ugyanarra a célra.","[R1 ✅ — Produkciós konvenció: Egységes AI-jelölés.] Definiálj egyetlen, kötelező AI-provenance jelölés-mintát (egységes szöveg + egységes megjelenés badge VAGY szövegsor) és alkalmazd minden AI-generált videónál azonosan."
fontos,Stílus- & hang-konzisztencia,M4.1-NAR-01,"Narrátor-regiszter törés: az M4 összes narrációja (M4.1-NAR-01..07, M4.2-NAR-01..04, M4.3-NAR-01..03, M4.4-NAR-01..05) 'semleges-barátságos' hangszínt ír elő, és sehol nem használja a 'tegező' jelzőt. Ezzel szemben az M1 (M1.1-NAR-01 'tegező, barátságos'), M2 (M2.1-NAR-01 'tegező'), M3 (M3.1-NAR-01 'tegező') és M5 (M5.1-NAR-01 'fiatalos tegező') narrációi mind kifejezetten tegező regiszterűek. Ez indokolatlan narrátor-hangnem eltérés a tananyag közepén; a tanuló a modulhatáron személytelenebb hangot hall.","[R3 ✅ — Produkciós konvenció: Narrátor hang-bible.] Egységesítsd az M4 narrációs spec-jét a tananyag-szintű 'tegező, barátságos' regiszterre (M4.1-NAR-01-től M4.4-NAR-05-ig), vagy ha az M4-nél tudatos a semlegesebb hang, rögzítsd indoklással a modul-metában, hogy ne tűnjön elnézésnek."
fontos,Stílus- & hang-konzisztencia,Z.1-NAR-01,"Narrátor-hangnem törés a záró modulban: a Z.1-NAR-01 és Z.1-NAR-02 'semleges felolvasó hangot' ír elő, holott a megelőző M1–M3 és M5 narrációk végig tegező, személyes hangneműek. A félévet lezáró, érzelmileg összegző leckéknél a hirtelen semleges felolvasó-hang elszemélyteleníti a zárást, és kilóg a kialakult narrátor-karakterből.","[R3 ✅ — Produkciós konvenció: Narrátor hang-bible.] Hozd a Z-modul narrációit (Z.1-NAR-01, Z.1-NAR-02, Z.2, Z.3 narrációk) ugyanarra a tegező, meleg hangra, mint az M1–M5 leckékben, hogy a narrátor-karakter végig konzisztens legyen."
