Köteg,Köteg neve,Függőség,Deliverable ID,Asset ID,Szerep,Modul,Egység,Típus,Altípus,Produkciós mód,Státusz,Kapuk,Szín-függés,Pilot,Cím,Forrásfájl
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M3.4-EGY-06,M3.4-EGY-06,elsődleges,M3,M3.4,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Szabad szöveges reflexiós mező – „Saját Do/Don’t listám” (SLIDE 5),"02 Tervezet/Modulok/M3/Online leckék/M3.4 – Do és Don’t madrichként – határok, red flag-ek és modulproduktum.md"
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M3.4-EGY-07,M3.4-EGY-07,elsődleges,M3,M3.4,other,moodle-activity,legyártandó,specifikáció kész,,nincs kimondva,,Moodle Assignment-sablon – „Helyzetleírás red flag-ekkel” (SLIDE 7 / modulproduktum),"02 Tervezet/Modulok/M3/Online leckék/M3.4 – Do és Don’t madrichként – határok, red flag-ek és modulproduktum.md"
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M3.4-EGY-08,M3.4-EGY-08,elsődleges,M3,M3.4,other,,legyártandó,specifikáció kész,,nincs kimondva,,Moodle intro Label/oldal – „0. lépés” a lecke előtt (lecke-keret),"02 Tervezet/Modulok/M3/Online leckék/M3.4 – Do és Don’t madrichként – határok, red flag-ek és modulproduktum.md"
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M3.F-EGY-01,M3.F-EGY-01,elsődleges,M3,M3.F,print,consumable,külső forrás,specifikáció kész,,nincs kimondva,beszerzes,Check-in matrica / post-it készlet,02 Tervezet/Modulok/M3/Peulák/M3.F – Felzárkóztató peula – Kvucadinamika & gyermekvédelem (Study Lab).md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M3.F-EGY-02,M3.F-EGY-02,elsődleges,M3,M3.F,print,consumable,külső forrás,specifikáció kész,,nincs kimondva,,Filcek a fogalom-térkép-táblához,02 Tervezet/Modulok/M3/Peulák/M3.F – Felzárkóztató peula – Kvucadinamika & gyermekvédelem (Study Lab).md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M4.2-EGY-01,M4.2-EGY-01,elsődleges,M4,M4.2,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,H5P Single Choice – „Mi lenne az első reakciód?” (helyzetfelmérés),02 Tervezet/Modulok/M4/Online leckék/M4.2 – Aktív hallgatás & visszatükrözés.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M4.2-EGY-02,M4.2-EGY-02,elsődleges,M4,M4.2,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,h5p,H5P Dialog Cards készlet – „Melyik segít jobban?”,02 Tervezet/Modulok/M4/Online leckék/M4.2 – Aktív hallgatás & visszatükrözés.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M4.2-EGY-03,M4.2-EGY-03,elsődleges,M4,M4.2,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,H5P Drag&Drop / Sorting – „Lezáró vagy támogató?”,02 Tervezet/Modulok/M4/Online leckék/M4.2 – Aktív hallgatás & visszatükrözés.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M4.2-EGY-04,M4.2-EGY-04,elsődleges,M4,M4.2,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,H5P mini-quiz – 2 Single Choice kérdés (Check),02 Tervezet/Modulok/M4/Online leckék/M4.2 – Aktív hallgatás & visszatükrözés.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M4.2-EGY-05,M4.2-EGY-05,elsődleges,M4,M4.2,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,2× szabad szöveges mező – reflektív kérdések (visszatükröző mondat + elhagyandó mondat),02 Tervezet/Modulok/M4/Online leckék/M4.2 – Aktív hallgatás & visszatükrözés.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M4.F-EGY-01,M4.F-EGY-01,elsődleges,M4,M4.F,print,consumable,külső forrás,specifikáció kész,,nincs kimondva,,Check-in matricák / post-it készlet (1 db/fő),"02 Tervezet/Modulok/M4/Peulák/M4.F – Felzárkóztató peula – Test, hang, kérdések & pitch (Study Lab).md"
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M4.F-EGY-02,M4.F-EGY-02,elsődleges,M4,M4.F,print,consumable,külső forrás,specifikáció kész,,nincs kimondva,,Filc-/marker-készlet a fogalom-térkép táblához,"02 Tervezet/Modulok/M4/Peulák/M4.F – Felzárkóztató peula – Test, hang, kérdések & pitch (Study Lab).md"
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M5-HUB-EGY-01,M5-HUB-EGY-01,elsődleges,M5,M5-HUB,print,consumable,külső forrás,specifikáció kész,,nincs kimondva,,Gallery walk reakció-eszközök (post-it / pötty-matrica),"02 Tervezet/Modulok/M5/M5 – Ez most játék vagy tanulás – Nonformális nevelés, módszerválasztás & tanulástan.md"
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M5.1-EGY-01,M5.1-EGY-01,elsődleges,M5,M5.1,other,ui-text,legyártandó,specifikáció kész,,nincs kimondva,,Provenance-címke – AI-generált avatar / AI-elemek jelölés,"02 Tervezet/Modulok/M5/Online leckék/M5.1 – Mi a nonformális nevelés – Suli, Somer, random.md"
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M5.3-EGY-01,M5.3-EGY-01,elsődleges,M5,M5.3,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Dialog Cards Leitner-pakli (Repetition mód) – akadálymentes interaktív elem,"02 Tervezet/Modulok/M5/Online leckék/M5.3 – Hogyan tanulunk tényleg – Gyakorlás, visszahívás, spacing.md"
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M6.1-EGY-01,M6.1-EGY-01,elsődleges,M6,M6.1,other,ui-text,legyártandó,specifikáció kész,,nincs kimondva,,AI-provenance ember-olvasható sor (lecke alján/dián),02 Tervezet/Modulok/M6/Online leckék/M6.1 – Játék-kategóriák 4 kvucára.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M6.1-EGY-02,M6.1-EGY-02,elsődleges,M6,M6.1,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Single Choice – önreflexió: „mi alapján döntesz?”,02 Tervezet/Modulok/M6/Online leckék/M6.1 – Játék-kategóriák 4 kvucára.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M6.1-EGY-03,M6.1-EGY-03,elsődleges,M6,M6.1,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Single Choice – „Névkör labdával” korosztály,02 Tervezet/Modulok/M6/Online leckék/M6.1 – Játék-kategóriák 4 kvucára.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M6.1-EGY-04,M6.1-EGY-04,elsődleges,M6,M6.1,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Single Choice – 11–13 bizalomjáték forma,02 Tervezet/Modulok/M6/Online leckék/M6.1 – Játék-kategóriák 4 kvucára.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M6.1-EGY-05,M6.1-EGY-05,elsődleges,M6,M6.1,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Szabad szöveges kérdés – kockázat bizalomjátékban,02 Tervezet/Modulok/M6/Online leckék/M6.1 – Játék-kategóriák 4 kvucára.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M6.1-EGY-06,M6.1-EGY-06,elsődleges,M6,M6.1,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Single Choice – 6–10 reflexiós vs. mély,02 Tervezet/Modulok/M6/Online leckék/M6.1 – Játék-kategóriák 4 kvucára.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M6.1-EGY-07,M6.1-EGY-07,elsődleges,M6,M6.1,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Single Choice – Szitu 1 korosztály-választás,02 Tervezet/Modulok/M6/Online leckék/M6.1 – Játék-kategóriák 4 kvucára.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M6.1-EGY-08,M6.1-EGY-08,elsődleges,M6,M6.1,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Szabad szöveges kérdés – Szitu 2 futkosós energizer kockázata + safety-keret,02 Tervezet/Modulok/M6/Online leckék/M6.1 – Játék-kategóriák 4 kvucára.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M6.1-EGY-09,M6.1-EGY-09,elsődleges,M6,M6.1,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Single Choice – miért hasznos kategóriákban gondolkodni,02 Tervezet/Modulok/M6/Online leckék/M6.1 – Játék-kategóriák 4 kvucára.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M6.1-EGY-10,M6.1-EGY-10,elsődleges,M6,M6.1,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Single Choice – mikor ne hozz mély élményjátékot,02 Tervezet/Modulok/M6/Online leckék/M6.1 – Játék-kategóriák 4 kvucára.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M6.1-EGY-11,M6.1-EGY-11,elsődleges,M6,M6.1,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Szabad szöveges mező – záró mini-reflexió (kedvenc játék + kockázat),02 Tervezet/Modulok/M6/Online leckék/M6.1 – Játék-kategóriák 4 kvucára.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M6.F-EGY-01,M6.F-EGY-01,elsődleges,M6,M6.F,print,consumable,külső forrás,specifikáció kész,,nincs kimondva,,Check-in matricák / post-it készlet (beszerzendő irodaszer),02 Tervezet/Modulok/M6/Peulák/M6.F – Felzárkóztató peula – Toolbox & játéklap (Study Lab).md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.1-DIA-01,M0.1-DIA-01,elsődleges,M0,M0.1,diagram,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,Éves útiterv timeline (M0→M7→Z),02 Tervezet/Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.1-DIA-01::ALTTEXT,M0.1-DIA-01,alt-szöveg,M0,M0.1,diagram,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,Éves útiterv timeline (M0→M7→Z) — alt-szöveg,02 Tervezet/Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.1-IKO-01,M0.1-IKO-01,elsődleges,M0,M0.1,icon-set,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,Hook-ikon: útiterv / térkép / lépcső,02 Tervezet/Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.1-IKO-01::ALTTEXT,M0.1-IKO-01,alt-szöveg,M0,M0.1,icon-set,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,Hook-ikon: útiterv / térkép / lépcső — alt-szöveg,02 Tervezet/Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.1-IKO-02,M0.1-IKO-02,elsődleges,M0,M0.1,icon-set,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,"3 ígéret-ikon (kézfogás, létra, pajzs)",02 Tervezet/Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.1-IKO-02::ALTTEXT,M0.1-IKO-02,alt-szöveg,M0,M0.1,icon-set,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,"3 ígéret-ikon (kézfogás, létra, pajzs) — alt-szöveg",02 Tervezet/Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.2-DIA-01,M0.2-DIA-01,elsődleges,M0,M0.2,diagram,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,SLIDE 4 jelzési folyamatábra: észreveszem → nem maradok egyedül → jelzek → támogatást kapunk,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md"
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.2-DIA-01::ALTTEXT,M0.2-DIA-01,alt-szöveg,M0,M0.2,diagram,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,SLIDE 4 jelzési folyamatábra: észreveszem → nem maradok egyedül → jelzek → támogatást kapunk — alt-szöveg,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md"
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.2-DIA-02,M0.2-DIA-02,elsődleges,M0,M0.2,diagram,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,"SLIDE 2 kétoszlopos összevetés: „Madrichként csinálom"" vs. „Nem (csak) az én feladatom""","02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md"
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.2-DIA-02::ALTTEXT,M0.2-DIA-02,alt-szöveg,M0,M0.2,diagram,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,"SLIDE 2 kétoszlopos összevetés: „Madrichként csinálom"" vs. „Nem (csak) az én feladatom"" — alt-szöveg","02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md"
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.2-IKO-01,M0.2-IKO-01,elsődleges,M0,M0.2,icon-set,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,SLIDE 1 hook-ikonok: barát / tanár / szuperhős,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md"
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.2-IKO-01::ALTTEXT,M0.2-IKO-01,alt-szöveg,M0,M0.2,icon-set,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,SLIDE 1 hook-ikonok: barát / tanár / szuperhős — alt-szöveg,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md"
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.2-IKO-02,M0.2-IKO-02,elsődleges,M0,M0.2,icon-set,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,ikon,SLIDE 5 dugma ishit ikonok: kör / chat / kulissza,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md"
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.2-IKO-02::ALTTEXT,M0.2-IKO-02,alt-szöveg,M0,M0.2,icon-set,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,ikon,SLIDE 5 dugma ishit ikonok: kör / chat / kulissza — alt-szöveg,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md"
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.4-DIA-01,M0.4-DIA-01,elsődleges,M0,M0.4,diagram,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,3 egyszerű online szabály – kártyás összegző diagram,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.4-DIA-01::ALTTEXT,M0.4-DIA-01,alt-szöveg,M0,M0.4,diagram,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,3 egyszerű online szabály – kártyás összegző diagram — alt-szöveg,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.4-IKO-01,M0.4-IKO-01,elsődleges,M0,M0.4,icon-set,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,Online-felület ikonkészlet (chat / insta / messenger / Moodle-komment),02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.4-IKO-01::ALTTEXT,M0.4-IKO-01,alt-szöveg,M0,M0.4,icon-set,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,Online-felület ikonkészlet (chat / insta / messenger / Moodle-komment) — alt-szöveg,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.4-ILL-01,M0.4-ILL-01,elsődleges,M0,M0.4,illustration,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,Hook-vizuál: a kvuca online terei a telefonon,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.4-ILL-01::ALTTEXT,M0.4-ILL-01,alt-szöveg,M0,M0.4,illustration,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,Hook-vizuál: a kvuca online terei a telefonon — alt-szöveg,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.4-ILL-02,M0.4-ILL-02,elsődleges,M0,M0.4,illustration,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,Online szituációk – 4 problémahelyzet jelenetképe,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.4-ILL-02::ALTTEXT,M0.4-ILL-02,alt-szöveg,M0,M0.4,illustration,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,Online szituációk – 4 problémahelyzet jelenetképe — alt-szöveg,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.4-ILL-03,M0.4-ILL-03,elsődleges,M0,M0.4,illustration,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,„Dugma ishit vagy sem?” – 3 döntéshelyzet vizuál,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.4-ILL-03::ALTTEXT,M0.4-ILL-03,alt-szöveg,M0,M0.4,illustration,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,„Dugma ishit vagy sem?” – 3 döntéshelyzet vizuál — alt-szöveg,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.4-POSZ-01,M0.4-POSZ-01,elsődleges,M0,M0.4,poster,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,„3 egyszerű szabály online” – nyomtatható poszter/kártya,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.4-POSZ-01::PRINTPDF,M0.4-POSZ-01,nyomtatható PDF,M0,M0.4,poster,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,„3 egyszerű szabály online” – nyomtatható poszter/kártya — nyomtatható PDF,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.A-KART-01,M0.A-KART-01,elsődleges,M0,M0.A,card-set,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,Red-flag mini-protokoll kártya a képzőnek,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.A-KART-01::PRINTPDF,M0.A-KART-01,nyomtatható PDF,M0,M0.A,card-set,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,Red-flag mini-protokoll kártya a képzőnek — nyomtatható PDF,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md
B1,BATCH 1 — VIZUÁLIS RENDSZER ZÁRÁSA UTÁN,R5 — vizuális rendszer lock,M0.A-KART-02,M0.A-KART-02,elsődleges,M0,M0.A,card-set,,legyártandó,produkciós szabályra vár,R5,nincs kimondva,,Képzői safety-mondatok kártya,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md
