Deliverable ID,Asset ID,Szerep,Modul,Egység,Forrásfájl,Típus,Altípus,Produkciós mód,Státusz,Készültségi akadály,Cím,Eredet,Forrásblokk,Szöveg (élő forrásból),Szöveg-hash,Blokkolók
M0.2-EGY-01,M0.2-EGY-01,elsődleges,M0,M0.2,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",other,h5p-interaction,legyártandó,specifikáció kész,,Akadálymentes iframe-cím és fókusz-spec a SLIDE 3 interakcióhoz,emberi,,,,
M0.2-IKO-01,M0.2-IKO-01,elsődleges,M0,M0.2,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",icon-set,,legyártandó,produkciós szabályra vár,,SLIDE 1 hook-ikonok: barát / tanár / szuperhős,AI-generált,,,,R5
M0.2-IKO-01::ALTTEXT,M0.2-IKO-01,alt-szöveg,M0,M0.2,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",icon-set,,legyártandó,produkciós szabályra vár,,SLIDE 1 hook-ikonok: barát / tanár / szuperhős — alt-szöveg,AI-generált,,,,R5
M0.2-IKO-02,M0.2-IKO-02,elsődleges,M0,M0.2,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",icon-set,,legyártandó,produkciós szabályra vár,,SLIDE 5 dugma ishit ikonok: kör / chat / kulissza,AI-generált,,,,R5
M0.2-IKO-02::ALTTEXT,M0.2-IKO-02,alt-szöveg,M0,M0.2,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",icon-set,,legyártandó,produkciós szabályra vár,,SLIDE 5 dugma ishit ikonok: kör / chat / kulissza — alt-szöveg,AI-generált,,,,R5
M0.3-FOTO-01,M0.3-FOTO-01,elsődleges,M0,M0.3,"02 Tervezet/Modulok/M0/Online leckék/M0.3 – Hogyan működik a Moodle, H5P és a gate.md",photo,,legyártandó,jogtisztázás alatt,,Moodle kurzus főoldal screenshot (modul-lista),emberi,,,,"R7, R8"
M0.3-FOTO-01::ALTTEXT,M0.3-FOTO-01,alt-szöveg,M0,M0.3,"02 Tervezet/Modulok/M0/Online leckék/M0.3 – Hogyan működik a Moodle, H5P és a gate.md",photo,,legyártandó,jogtisztázás alatt,,Moodle kurzus főoldal screenshot (modul-lista) — alt-szöveg,emberi,M0.3-FOTO-01-ALT,"A Moodle kurzus főoldala. A modulok fentről lefelé sorban: M0, M1, M2, …, M7, Z. Minden modul címe mellett pipa jelzi a befejezett elemeket.",8436e4f7664a1594b8c02594c373ee299f9e544831b3085606a10c451ca7e7b9,"R7, R8"
M0.4-DIA-01,M0.4-DIA-01,elsődleges,M0,M0.4,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,diagram,,legyártandó,produkciós szabályra vár,,3 egyszerű online szabály – kártyás összegző diagram,AI-generált,,,,R5
M0.4-DIA-01::ALTTEXT,M0.4-DIA-01,alt-szöveg,M0,M0.4,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,diagram,,legyártandó,produkciós szabályra vár,,3 egyszerű online szabály – kártyás összegző diagram — alt-szöveg,AI-generált,,,,R5
M0.4-IKO-01,M0.4-IKO-01,elsődleges,M0,M0.4,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,icon-set,,legyártandó,produkciós szabályra vár,,Online-felület ikonkészlet (chat / insta / messenger / Moodle-komment),AI-generált,,,,R5
M0.4-IKO-01::ALTTEXT,M0.4-IKO-01,alt-szöveg,M0,M0.4,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,icon-set,,legyártandó,produkciós szabályra vár,,Online-felület ikonkészlet (chat / insta / messenger / Moodle-komment) — alt-szöveg,AI-generált,,,,R5
M0.4-ILL-01,M0.4-ILL-01,elsődleges,M0,M0.4,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,illustration,,legyártandó,produkciós szabályra vár,,Hook-vizuál: a kvuca online terei a telefonon,AI-generált,,,,R5
M0.4-ILL-01::ALTTEXT,M0.4-ILL-01,alt-szöveg,M0,M0.4,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,illustration,,legyártandó,produkciós szabályra vár,,Hook-vizuál: a kvuca online terei a telefonon — alt-szöveg,AI-generált,,,,R5
M0.4-ILL-02,M0.4-ILL-02,elsődleges,M0,M0.4,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,illustration,,legyártandó,produkciós szabályra vár,,Online szituációk – 4 problémahelyzet jelenetképe,AI-generált,,,,R5
M0.4-ILL-02::ALTTEXT,M0.4-ILL-02,alt-szöveg,M0,M0.4,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,illustration,,legyártandó,produkciós szabályra vár,,Online szituációk – 4 problémahelyzet jelenetképe — alt-szöveg,AI-generált,,,,R5
M0.4-ILL-03,M0.4-ILL-03,elsődleges,M0,M0.4,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,illustration,,legyártandó,produkciós szabályra vár,,„Dugma ishit vagy sem?” – 3 döntéshelyzet vizuál,AI-generált,,,,R5
M0.4-ILL-03::ALTTEXT,M0.4-ILL-03,alt-szöveg,M0,M0.4,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,illustration,,legyártandó,produkciós szabályra vár,,„Dugma ishit vagy sem?” – 3 döntéshelyzet vizuál — alt-szöveg,AI-generált,,,,R5
M0.4-POSZ-01,M0.4-POSZ-01,elsődleges,M0,M0.4,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,poster,,legyártandó,produkciós szabályra vár,,„3 egyszerű szabály online” – nyomtatható poszter/kártya,AI-generált,,,,R5
M0.4-POSZ-01::PRINTPDF,M0.4-POSZ-01,nyomtatható PDF,M0,M0.4,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,poster,,legyártandó,produkciós szabályra vár,,„3 egyszerű szabály online” – nyomtatható poszter/kártya — nyomtatható PDF,AI-generált,,,,R5
M0.A-EGY-01,M0.A-EGY-01,elsődleges,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,other,,legyártandó,specifikáció kész,,Zárókör induló-szavainak rögzítése (képzői jegyzet a Z.A-hoz),emberi,,,,
M0.A-FOTO-01,M0.A-FOTO-01,elsődleges,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,photo,,legyártandó,jogtisztázás alatt,,Kvuca-plakátok archív fotói (Z.A modulhoz),emberi,,,,R8
M0.A-FOTO-01::ALTTEXT,M0.A-FOTO-01,alt-szöveg,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,photo,,legyártandó,jogtisztázás alatt,,Kvuca-plakátok archív fotói (Z.A modulhoz) — alt-szöveg,emberi,,,,R8
M0.A-KART-01,M0.A-KART-01,elsődleges,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,card-set,,legyártandó,produkciós szabályra vár,,Red-flag mini-protokoll kártya a képzőnek,vegyes,,,,R5
M0.A-KART-01::PRINTPDF,M0.A-KART-01,nyomtatható PDF,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,card-set,,legyártandó,produkciós szabályra vár,,Red-flag mini-protokoll kártya a képzőnek — nyomtatható PDF,vegyes,,,,R5
M0.A-KART-02,M0.A-KART-02,elsődleges,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,card-set,,legyártandó,produkciós szabályra vár,,Képzői safety-mondatok kártya,vegyes,,,,R5
M0.A-KART-02::PRINTPDF,M0.A-KART-02,nyomtatható PDF,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,card-set,,legyártandó,produkciós szabályra vár,,Képzői safety-mondatok kártya — nyomtatható PDF,vegyes,,,,R5
M0.A-MUNK-01,M0.A-MUNK-01,elsődleges,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,worksheet,,legyártandó,produkciós szabályra vár,,Kvuca-plakát 3 rubrikás sablon (Mit várok / Mitől félek / Mit hozok),vegyes,,,,R5
M0.A-MUNK-01::PRINTPDF,M0.A-MUNK-01,nyomtatható PDF,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,worksheet,,legyártandó,produkciós szabályra vár,,Kvuca-plakát 3 rubrikás sablon (Mit várok / Mitől félek / Mit hozok) — nyomtatható PDF,vegyes,,,,R5
M0.A-MUNK-02,M0.A-MUNK-02,elsődleges,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,worksheet,,legyártandó,produkciós szabályra vár,,Exit ticket cetli – 2 kérdéses sablon,vegyes,,,,R5
M0.A-MUNK-02::PRINTPDF,M0.A-MUNK-02,nyomtatható PDF,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,worksheet,,legyártandó,produkciós szabályra vár,,Exit ticket cetli – 2 kérdéses sablon — nyomtatható PDF,vegyes,,,,R5
M0.A-MUNK-03,M0.A-MUNK-03,elsődleges,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,worksheet,,legyártandó,produkciós szabályra vár,,Moodle-belépési segédlet (papír helpdesk-kézirat),vegyes,,,,R5
M0.A-MUNK-03::PRINTPDF,M0.A-MUNK-03,nyomtatható PDF,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,worksheet,,legyártandó,produkciós szabályra vár,,Moodle-belépési segédlet (papír helpdesk-kézirat) — nyomtatható PDF,vegyes,,,,R5
M0.A-POSZ-01,M0.A-POSZ-01,elsődleges,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,poster,,legyártandó,produkciós szabályra vár,,"„KÖZÖS KERET"" 2 oszlopos flipchart-sablon",vegyes,,,,R5
M0.A-POSZ-01::PRINTPDF,M0.A-POSZ-01,nyomtatható PDF,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,poster,,legyártandó,produkciós szabályra vár,,"„KÖZÖS KERET"" 2 oszlopos flipchart-sablon — nyomtatható PDF",vegyes,,,,R5
M0.A-POSZ-02,M0.A-POSZ-02,elsődleges,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,poster,,legyártandó,produkciós szabályra vár,,"„Kihez fordulhatok?"" támasz-térkép sablon (buborékábra)",vegyes,,,,R5
M0.A-POSZ-02::PRINTPDF,M0.A-POSZ-02,nyomtatható PDF,M0,M0.A,02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,poster,,legyártandó,produkciós szabályra vár,,"„Kihez fordulhatok?"" támasz-térkép sablon (buborékábra) — nyomtatható PDF",vegyes,,,,R5
M1-HUB-POSZ-02,M1-HUB-POSZ-02,elsődleges,M1,M1-HUB,"02 Tervezet/Modulok/M1/M1 – Vakfolt, tükör, feedback – Önismeret & visszajelzés – Johari + SBI.md",poster,,legyártandó,produkciós szabályra vár,,M1.F Közös fogalom-térkép sablon,vegyes,,,,R5
M1-HUB-POSZ-02::PRINTPDF,M1-HUB-POSZ-02,nyomtatható PDF,M1,M1-HUB,"02 Tervezet/Modulok/M1/M1 – Vakfolt, tükör, feedback – Önismeret & visszajelzés – Johari + SBI.md",poster,,legyártandó,produkciós szabályra vár,,M1.F Közös fogalom-térkép sablon — nyomtatható PDF,vegyes,,,,R5
M1.1-DIA-01,M1.1-DIA-01,elsődleges,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,diagram,,legyártandó,produkciós szabályra vár,,Animált Johari-ablak diagram (4 mező felvillan),AI-generált,,,,R5
M1.1-DIA-01::ALTTEXT,M1.1-DIA-01,alt-szöveg,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,diagram,,legyártandó,produkciós szabályra vár,,Animált Johari-ablak diagram (4 mező felvillan) — alt-szöveg,AI-generált,M1.1-DIA-01-ALT,"A Johari-ablak 2×2-es diagramja. Oszlopok: én ismerem / én nem ismerem; sorok: mások ismerik / mások nem ismerik. A négy mező: bal felül Nyitott terület (te is és mások is látják), jobb felül Vakfolt (mások látják, te nem), bal alul Rejtett terület (te látod, mások nem), jobb alul Ismeretlen terület (sem te, sem mások nem látják).",3834ed0dcdc369af37698c6d3495cca9aef44571ede4230ce4166bac788a6016,R5
M1.1-IKO-01,M1.1-IKO-01,elsődleges,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,icon-set,,legyártandó,produkciós szabályra vár,,4 mező-ikon a példa-gridhez (dekoratív),AI-generált,,,,R5
M1.1-IKO-02,M1.1-IKO-02,elsődleges,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,icon-set,,legyártandó,produkciós szabályra vár,,Önreflexió-ikon (gondolkodó figura / napló),AI-generált,,,,R5
M1.1-IKO-02::ALTTEXT,M1.1-IKO-02,alt-szöveg,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,icon-set,,legyártandó,produkciós szabályra vár,,Önreflexió-ikon (gondolkodó figura / napló) — alt-szöveg,AI-generált,,,,R5
M1.1-ILL-01,M1.1-ILL-01,elsődleges,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,illustration,,legyártandó,produkciós szabályra vár,,Üres 4 ablakos Johari-váz grafika (címke nélkül),AI-generált,,,,R5
M1.1-ILL-01::ALTTEXT,M1.1-ILL-01,alt-szöveg,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,illustration,,legyártandó,produkciós szabályra vár,,Üres 4 ablakos Johari-váz grafika (címke nélkül) — alt-szöveg,AI-generált,M1.1-ILL-01-ALT,"Egy 2×2-es rács négy üres mezővel, a Johari-ablak vázát idézi, a mezők még címke nélkül.",da0c46e98f0f283de3eff2663122fdcee52c55c21b6cfb05bb3dfd03b310cf4f,R5
M1.1-ILL-02,M1.1-ILL-02,elsődleges,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,illustration,,legyártandó,produkciós szabályra vár,,Példa-grid (4 mező) ikonokkal – 4 hétköznapi példa,AI-generált,,,,R5
M1.1-NAR-02,M1.1-NAR-02,elsődleges,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,voiceover,narration,legyártandó,produkciós szabályra vár,,Narráció – Safety / érzelmi check-in,AI-generált,M1.1-NAR-02-VO,"„Mielőtt belemennénk, fontos:
az, hogy **nem látsz mindent magadból**, nem azt jelenti, hogy baj van veled.
Minden embernek vannak részei, amiket csak ő lát,
és vannak dolgok, amiket **inkább a többiek vesznek észre rajta**.

Ha a lecke közben bármi nehéz érzés jönne, teljesen rendben van szünetet tartani,
és beszélni a mentoroddal vagy a képződdel.”",c94a68020016e1468185bcd2b87e62e93177a3cbba22507fbb27913654ce3afd,R3
M1.1-NAR-02::CAPTIONS,M1.1-NAR-02,felirat,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,voiceover,narration,legyártandó,produkciós szabályra vár,,Narráció – Safety / érzelmi check-in — felirat,AI-generált,M1.1-NAR-02-VO,"„Mielőtt belemennénk, fontos:
az, hogy **nem látsz mindent magadból**, nem azt jelenti, hogy baj van veled.
Minden embernek vannak részei, amiket csak ő lát,
és vannak dolgok, amiket **inkább a többiek vesznek észre rajta**.

Ha a lecke közben bármi nehéz érzés jönne, teljesen rendben van szünetet tartani,
és beszélni a mentoroddal vagy a képződdel.”",c94a68020016e1468185bcd2b87e62e93177a3cbba22507fbb27913654ce3afd,R3
M1.1-NAR-02::TRANSCRIPT,M1.1-NAR-02,leirat,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,voiceover,narration,legyártandó,produkciós szabályra vár,,Narráció – Safety / érzelmi check-in — leirat,AI-generált,M1.1-NAR-02-VO,"„Mielőtt belemennénk, fontos:
az, hogy **nem látsz mindent magadból**, nem azt jelenti, hogy baj van veled.
Minden embernek vannak részei, amiket csak ő lát,
és vannak dolgok, amiket **inkább a többiek vesznek észre rajta**.

Ha a lecke közben bármi nehéz érzés jönne, teljesen rendben van szünetet tartani,
és beszélni a mentoroddal vagy a képződdel.”",c94a68020016e1468185bcd2b87e62e93177a3cbba22507fbb27913654ce3afd,R3
M1.1-NAR-03,M1.1-NAR-03,elsődleges,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,voiceover,narration,legyártandó,produkciós szabályra vár,,Narráció – „Mi az a Johari-ablak?” (4 mező),AI-generált,M1.1-NAR-03-VO,"„Ez itt a **Johari-ablak**.
Arra használjuk, hogy végiggondoljuk, **mit látunk magunkból, és mit látnak mások belőlünk**.

👉 A **nyitott terület** az, amit **te is tudsz magadról, és mások is látják** rajtad.
Például, hogy szeretsz hangosan nevetni, és ezt mindenki tudja.

👉 A **rejtett terület** az, amit **te tudsz magadról, de mások elől elrejtesz**.
Például, hogy nagyon izgulsz megszólalás előtt, de ez kívülről nem látszik.

👉 A **vakfolt** az, amit **mások látnak rajtad, de te nem igazán**.
Például, hogy mások szerint jó vagy vicces megjegyzésekben, de szerinted te csak beszélgetsz.

👉 Az **ismeretlen terület** az, amit **senki nem tud** rólad – még te sem.
Olyan dolgok, amiket még nem próbáltál ki, vagy helyzetek, amikben még nem voltál.”",2ef629171d4555f30ba6206db914662c4e756dd8ca46476476d885f954a1784f,R3
M1.1-NAR-03::CAPTIONS,M1.1-NAR-03,felirat,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,voiceover,narration,legyártandó,produkciós szabályra vár,,Narráció – „Mi az a Johari-ablak?” (4 mező) — felirat,AI-generált,M1.1-NAR-03-VO,"„Ez itt a **Johari-ablak**.
Arra használjuk, hogy végiggondoljuk, **mit látunk magunkból, és mit látnak mások belőlünk**.

👉 A **nyitott terület** az, amit **te is tudsz magadról, és mások is látják** rajtad.
Például, hogy szeretsz hangosan nevetni, és ezt mindenki tudja.

👉 A **rejtett terület** az, amit **te tudsz magadról, de mások elől elrejtesz**.
Például, hogy nagyon izgulsz megszólalás előtt, de ez kívülről nem látszik.

👉 A **vakfolt** az, amit **mások látnak rajtad, de te nem igazán**.
Például, hogy mások szerint jó vagy vicces megjegyzésekben, de szerinted te csak beszélgetsz.

👉 Az **ismeretlen terület** az, amit **senki nem tud** rólad – még te sem.
Olyan dolgok, amiket még nem próbáltál ki, vagy helyzetek, amikben még nem voltál.”",2ef629171d4555f30ba6206db914662c4e756dd8ca46476476d885f954a1784f,R3
M1.1-NAR-03::TRANSCRIPT,M1.1-NAR-03,leirat,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,voiceover,narration,legyártandó,produkciós szabályra vár,,Narráció – „Mi az a Johari-ablak?” (4 mező) — leirat,AI-generált,M1.1-NAR-03-VO,"„Ez itt a **Johari-ablak**.
Arra használjuk, hogy végiggondoljuk, **mit látunk magunkból, és mit látnak mások belőlünk**.

👉 A **nyitott terület** az, amit **te is tudsz magadról, és mások is látják** rajtad.
Például, hogy szeretsz hangosan nevetni, és ezt mindenki tudja.

👉 A **rejtett terület** az, amit **te tudsz magadról, de mások elől elrejtesz**.
Például, hogy nagyon izgulsz megszólalás előtt, de ez kívülről nem látszik.

👉 A **vakfolt** az, amit **mások látnak rajtad, de te nem igazán**.
Például, hogy mások szerint jó vagy vicces megjegyzésekben, de szerinted te csak beszélgetsz.

👉 Az **ismeretlen terület** az, amit **senki nem tud** rólad – még te sem.
Olyan dolgok, amiket még nem próbáltál ki, vagy helyzetek, amikben még nem voltál.”",2ef629171d4555f30ba6206db914662c4e756dd8ca46476476d885f954a1784f,R3
M1.1-NAR-04,M1.1-NAR-04,elsődleges,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,voiceover,narration,legyártandó,produkciós szabályra vár,,Narráció – Példák a 4 mezőre,AI-generált,M1.1-NAR-04-VO,"„Nézzünk pár példát.

Ha mindenki tudja rólad, hogy imádod a tábortüzes éneklést, és te is, akkor ez a **nyitott terület**.

Ha belül nagyon izgulsz attól, hogy megszólalj nagyobb körben, de ezt senkinek nem mondod el, az a **rejtett terület**.

Ha a többiek azt mondják, hogy jó veled beszélgetni, mert figyelsz rájuk, te meg ezt nem érzed különlegesnek – ez egy **vakfolt**.

És vannak olyan dolgok, amiket még te sem próbáltál ki – például, hogy milyen lennél egy nagy csoport előtt madrichként. Ez az **ismeretlen terület**.”",3f2dcf3cbe71762f4de3d869658e989c5483f6c31ec76cee02500727061ca93e,R3
M1.1-NAR-04::CAPTIONS,M1.1-NAR-04,felirat,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,voiceover,narration,legyártandó,produkciós szabályra vár,,Narráció – Példák a 4 mezőre — felirat,AI-generált,M1.1-NAR-04-VO,"„Nézzünk pár példát.

Ha mindenki tudja rólad, hogy imádod a tábortüzes éneklést, és te is, akkor ez a **nyitott terület**.

Ha belül nagyon izgulsz attól, hogy megszólalj nagyobb körben, de ezt senkinek nem mondod el, az a **rejtett terület**.

Ha a többiek azt mondják, hogy jó veled beszélgetni, mert figyelsz rájuk, te meg ezt nem érzed különlegesnek – ez egy **vakfolt**.

És vannak olyan dolgok, amiket még te sem próbáltál ki – például, hogy milyen lennél egy nagy csoport előtt madrichként. Ez az **ismeretlen terület**.”",3f2dcf3cbe71762f4de3d869658e989c5483f6c31ec76cee02500727061ca93e,R3
M1.1-NAR-04::TRANSCRIPT,M1.1-NAR-04,leirat,M1,M1.1,02 Tervezet/Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,voiceover,narration,legyártandó,produkciós szabályra vár,,Narráció – Példák a 4 mezőre — leirat,AI-generált,M1.1-NAR-04-VO,"„Nézzünk pár példát.

Ha mindenki tudja rólad, hogy imádod a tábortüzes éneklést, és te is, akkor ez a **nyitott terület**.

Ha belül nagyon izgulsz attól, hogy megszólalj nagyobb körben, de ezt senkinek nem mondod el, az a **rejtett terület**.

Ha a többiek azt mondják, hogy jó veled beszélgetni, mert figyelsz rájuk, te meg ezt nem érzed különlegesnek – ez egy **vakfolt**.

És vannak olyan dolgok, amiket még te sem próbáltál ki – például, hogy milyen lennél egy nagy csoport előtt madrichként. Ez az **ismeretlen terület**.”",3f2dcf3cbe71762f4de3d869658e989c5483f6c31ec76cee02500727061ca93e,R3
