old_id,old_type,old_file,old_category,old_generate_state,v2_asset_id,v2_deliverable_id,status,reason
M0.4-ILL-02,illusztráció,Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,digitális-generálandó,produce,M0.4-ILL-02,M0.4-ILL-02,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.4-ILL-03,illusztráció,Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,digitális-generálandó,produce,M0.4-ILL-03,M0.4-ILL-03,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.4-POSZ-01,print-poszter,Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,print-fizikai,produce,M0.4-POSZ-01,M0.4-POSZ-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.A-EGY-01,egyéb,Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,szöveges-ekvivalens,produce,M0.A-EGY-01,M0.A-EGY-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.A-FOTO-01,fotó-kép,Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,digitális-generálandó,produce,M0.A-FOTO-01,M0.A-FOTO-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.A-KART-01,print-kártya,Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,print-fizikai,produce,M0.A-KART-01,M0.A-KART-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.A-KART-02,print-kártya,Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,print-fizikai,produce,M0.A-KART-02,M0.A-KART-02,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.A-MUNK-01,print-munkalap,Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,print-fizikai,produce,M0.A-MUNK-01,M0.A-MUNK-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.A-MUNK-02,print-munkalap,Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,print-fizikai,produce,M0.A-MUNK-02,M0.A-MUNK-02,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.A-MUNK-03,print-munkalap,Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,print-fizikai,produce,M0.A-MUNK-03,M0.A-MUNK-03,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.A-POSZ-01,print-poszter,Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,print-fizikai,produce,M0.A-POSZ-01,M0.A-POSZ-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.A-POSZ-02,print-poszter,Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md,print-fizikai,produce,M0.A-POSZ-02,M0.A-POSZ-02,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.1-ALT-01,alt-szöveg,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,szöveges-ekvivalens,produce,M1.1-ILL-01,M1.1-ILL-01::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M1.1-ILL-01 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M1.1-ALT-02,alt-szöveg,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,szöveges-ekvivalens,produce,M1.1-DIA-01,M1.1-DIA-01::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M1.1-DIA-01 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M1.1-DIA-01,animált-diagram,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,digitális-generálandó,produce,M1.1-DIA-01,M1.1-DIA-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.1-FEL-01,felirat,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,szöveges-ekvivalens,produce,M1.1-VID-01,M1.1-VID-01::CAPTIONS,DERIVED_NOW,"a v2-ben a(z) M1.1-VID-01 `captions` derivatívája, a szövegét a forrásblokk adja"
M1.1-FEL-02,felirat,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,szöveges-ekvivalens,produce,M1.1-NAR-02,M1.1-NAR-02::CAPTIONS,DERIVED_NOW,"a v2-ben a(z) M1.1-NAR-02 `captions` derivatívája, a szövegét a forrásblokk adja"
M1.1-FEL-03,felirat,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,szöveges-ekvivalens,produce,M1.1-NAR-03,M1.1-NAR-03::CAPTIONS,DERIVED_NOW,"a v2-ben a(z) M1.1-NAR-03 `captions` derivatívája, a szövegét a forrásblokk adja"
M1.1-FEL-04,felirat,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,szöveges-ekvivalens,produce,M1.1-NAR-04,M1.1-NAR-04::CAPTIONS,DERIVED_NOW,"a v2-ben a(z) M1.1-NAR-04 `captions` derivatívája, a szövegét a forrásblokk adja"
M1.1-FEL-05,felirat,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,szöveges-ekvivalens,produce,M1.1-NAR-05,M1.1-NAR-05::CAPTIONS,DERIVED_NOW,"a v2-ben a(z) M1.1-NAR-05 `captions` derivatívája, a szövegét a forrásblokk adja"
M1.1-FEL-06,felirat,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,szöveges-ekvivalens,produce,M1.1-NAR-06,M1.1-NAR-06::CAPTIONS,DERIVED_NOW,"a v2-ben a(z) M1.1-NAR-06 `captions` derivatívája, a szövegét a forrásblokk adja"
M1.1-IKO-01,ikon-készlet,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,digitális-generálandó,produce,M1.1-IKO-01,M1.1-IKO-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.1-IKO-02,ikon-készlet,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,digitális-generálandó,produce,M1.1-IKO-02,M1.1-IKO-02,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.1-ILL-01,illusztráció,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,digitális-generálandó,produce,M1.1-ILL-01,M1.1-ILL-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.1-ILL-02,illusztráció,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,digitális-generálandó,produce,M1.1-ILL-02,M1.1-ILL-02,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.1-LEI-01,leirat-transzkript,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,szöveges-ekvivalens,produce,M1.1-VID-01,M1.1-VID-01::TRANSCRIPT,DERIVED_NOW,"a v2-ben a(z) M1.1-VID-01 `transcript` derivatívája, a szövegét a forrásblokk adja"
M1.1-LEI-02,leirat-transzkript,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,szöveges-ekvivalens,produce,M1.1-NAR-02,M1.1-NAR-02::TRANSCRIPT,DERIVED_NOW,"a v2-ben a(z) M1.1-NAR-02 `transcript` derivatívája, a szövegét a forrásblokk adja"
M1.1-LEI-03,leirat-transzkript,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,szöveges-ekvivalens,produce,M1.1-NAR-03,M1.1-NAR-03::TRANSCRIPT,DERIVED_NOW,"a v2-ben a(z) M1.1-NAR-03 `transcript` derivatívája, a szövegét a forrásblokk adja"
M1.1-LEI-04,leirat-transzkript,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,szöveges-ekvivalens,produce,M1.1-NAR-04,M1.1-NAR-04::TRANSCRIPT,DERIVED_NOW,"a v2-ben a(z) M1.1-NAR-04 `transcript` derivatívája, a szövegét a forrásblokk adja"
M1.1-LEI-05,leirat-transzkript,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,szöveges-ekvivalens,produce,M1.1-NAR-05,M1.1-NAR-05::TRANSCRIPT,DERIVED_NOW,"a v2-ben a(z) M1.1-NAR-05 `transcript` derivatívája, a szövegét a forrásblokk adja"
M1.1-LEI-06,leirat-transzkript,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,szöveges-ekvivalens,produce,M1.1-NAR-06,M1.1-NAR-06::TRANSCRIPT,DERIVED_NOW,"a v2-ben a(z) M1.1-NAR-06 `transcript` derivatívája, a szövegét a forrásblokk adja"
M1.1-NAR-01,narráció,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,digitális-generálandó,produce,M1.1-VID-01,M1.1-VID-01::VOICEOVER,DERIVED_NOW,"a v2-ben a(z) M1.1-VID-01 `voiceover` derivatívája, a szövegét a forrásblokk adja"
M1.1-NAR-02,narráció,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,digitális-generálandó,produce,M1.1-NAR-02,M1.1-NAR-02,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.1-NAR-03,narráció,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,digitális-generálandó,produce,M1.1-NAR-03,M1.1-NAR-03,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.1-NAR-04,narráció,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,digitális-generálandó,produce,M1.1-NAR-04,M1.1-NAR-04,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.1-NAR-05,narráció,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,digitális-generálandó,produce,M1.1-NAR-05,M1.1-NAR-05,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.1-NAR-06,narráció,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,digitális-generálandó,produce,M1.1-NAR-06,M1.1-NAR-06,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.1-VID-01,beszélőfej-videó,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,digitális-generálandó,produce,M1.1-VID-01,M1.1-VID-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.1-VID-02,egyéb,Modulok/M1/Online leckék/M1.1 – Johari-ablak – vakfoltjaim felismerése.md,digitális-generálandó,produce,M1.1-VID-02,M1.1-VID-02,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.2-ALT-01,alt-szöveg,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,szöveges-ekvivalens,produce,M1.2-ILL-01,M1.2-ILL-01::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M1.2-ILL-01 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M1.2-ALT-02,alt-szöveg,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,szöveges-ekvivalens,produce,M1.2-DIA-01,M1.2-DIA-01::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M1.2-DIA-01 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M1.2-ALT-03,alt-szöveg,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,szöveges-ekvivalens,produce,M1.2-ILL-02,M1.2-ILL-02::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M1.2-ILL-02 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M1.2-DIA-01,animált-diagram,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,digitális-generálandó,produce,M1.2-DIA-01,M1.2-DIA-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.2-FEL-01,felirat,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,szöveges-ekvivalens,produce,M1.2-VID-01,M1.2-VID-01::CAPTIONS,DERIVED_NOW,"a v2-ben a(z) M1.2-VID-01 `captions` derivatívája, a szövegét a forrásblokk adja"
M1.2-FEL-02,felirat,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,szöveges-ekvivalens,produce,M1.2-NAR-02,M1.2-NAR-02::CAPTIONS,DERIVED_NOW,"a v2-ben a(z) M1.2-NAR-02 `captions` derivatívája, a szövegét a forrásblokk adja"
M1.2-FEL-03,felirat,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,szöveges-ekvivalens,produce,M1.2-NAR-03,M1.2-NAR-03::CAPTIONS,DERIVED_NOW,"a v2-ben a(z) M1.2-NAR-03 `captions` derivatívája, a szövegét a forrásblokk adja"
M1.2-FEL-04,felirat,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,szöveges-ekvivalens,produce,M1.2-NAR-04,M1.2-NAR-04::CAPTIONS,DERIVED_NOW,"a v2-ben a(z) M1.2-NAR-04 `captions` derivatívája, a szövegét a forrásblokk adja"
M1.2-FEL-05,felirat,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,szöveges-ekvivalens,produce,M1.2-NAR-05,M1.2-NAR-05::CAPTIONS,DERIVED_NOW,"a v2-ben a(z) M1.2-NAR-05 `captions` derivatívája, a szövegét a forrásblokk adja"
M1.2-FEL-06,felirat,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,szöveges-ekvivalens,produce,M1.2-NAR-06,M1.2-NAR-06::CAPTIONS,DERIVED_NOW,"a v2-ben a(z) M1.2-NAR-06 `captions` derivatívája, a szövegét a forrásblokk adja"
M1.2-IKO-01,ikon-készlet,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,digitális-generálandó,produce,M1.2-IKO-01,M1.2-IKO-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.2-IKO-02,ikon-készlet,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,digitális-generálandó,produce,M1.2-IKO-02,M1.2-IKO-02,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.2-IKO-03,ikon-készlet,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,digitális-generálandó,produce,M1.2-IKO-03,M1.2-IKO-03,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.2-ILL-01,illusztráció,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,digitális-generálandó,produce,M1.2-ILL-01,M1.2-ILL-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.2-ILL-02,illusztráció,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,digitális-generálandó,produce,M1.2-ILL-02,M1.2-ILL-02,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.2-LEI-01,leirat-transzkript,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,szöveges-ekvivalens,produce,M1.2-VID-01,M1.2-VID-01::TRANSCRIPT,DERIVED_NOW,"a v2-ben a(z) M1.2-VID-01 `transcript` derivatívája, a szövegét a forrásblokk adja"
M1.2-LEI-02,leirat-transzkript,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,szöveges-ekvivalens,produce,M1.2-NAR-02,M1.2-NAR-02::TRANSCRIPT,DERIVED_NOW,"a v2-ben a(z) M1.2-NAR-02 `transcript` derivatívája, a szövegét a forrásblokk adja"
M1.2-LEI-03,leirat-transzkript,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,szöveges-ekvivalens,produce,M1.2-NAR-03,M1.2-NAR-03::TRANSCRIPT,DERIVED_NOW,"a v2-ben a(z) M1.2-NAR-03 `transcript` derivatívája, a szövegét a forrásblokk adja"
M1.2-LEI-04,leirat-transzkript,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,szöveges-ekvivalens,produce,M1.2-NAR-04,M1.2-NAR-04::TRANSCRIPT,DERIVED_NOW,"a v2-ben a(z) M1.2-NAR-04 `transcript` derivatívája, a szövegét a forrásblokk adja"
M1.2-LEI-05,leirat-transzkript,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,szöveges-ekvivalens,produce,M1.2-NAR-05,M1.2-NAR-05::TRANSCRIPT,DERIVED_NOW,"a v2-ben a(z) M1.2-NAR-05 `transcript` derivatívája, a szövegét a forrásblokk adja"
M1.2-LEI-06,leirat-transzkript,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,szöveges-ekvivalens,produce,M1.2-NAR-06,M1.2-NAR-06::TRANSCRIPT,DERIVED_NOW,"a v2-ben a(z) M1.2-NAR-06 `transcript` derivatívája, a szövegét a forrásblokk adja"
M1.2-NAR-01,narráció,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,digitális-generálandó,produce,M1.2-VID-01,M1.2-VID-01::VOICEOVER,DERIVED_NOW,"a v2-ben a(z) M1.2-VID-01 `voiceover` derivatívája, a szövegét a forrásblokk adja"
M1.2-NAR-02,narráció,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,digitális-generálandó,produce,M1.2-NAR-02,M1.2-NAR-02,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.2-NAR-03,narráció,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,digitális-generálandó,produce,M1.2-NAR-03,M1.2-NAR-03,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.2-NAR-04,narráció,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,digitális-generálandó,produce,M1.2-NAR-04,M1.2-NAR-04,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.2-NAR-05,narráció,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,digitális-generálandó,produce,M1.2-NAR-05,M1.2-NAR-05,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.2-NAR-06,narráció,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,digitális-generálandó,produce,M1.2-NAR-06,M1.2-NAR-06,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.2-VID-01,beszélőfej-videó,Modulok/M1/Online leckék/M1.2 – Megfigyelés ≠ értelmezés.md,digitális-generálandó,produce,M1.2-VID-01,M1.2-VID-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.3-DIA-01,animált-diagram,Modulok/M1/Online leckék/M1.3 – SBI-modell – hogyan adjak korrekt visszajelzést.md,digitális-generálandó,produce,M1.3-DIA-01,M1.3-DIA-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.3-DIA-02,animált-diagram,Modulok/M1/Online leckék/M1.3 – SBI-modell – hogyan adjak korrekt visszajelzést.md,digitális-generálandó,produce,M1.3-DIA-02,M1.3-DIA-02,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.3-DIA-03,animált-diagram,Modulok/M1/Online leckék/M1.3 – SBI-modell – hogyan adjak korrekt visszajelzést.md,digitális-generálandó,produce,M1.3-DIA-03,M1.3-DIA-03,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M1.3-EGY-01,egyéb,Modulok/M1/Online leckék/M1.3 – SBI-modell – hogyan adjak korrekt visszajelzést.md,digitális-generálandó,produce,M1.3-EGY-01,M1.3-EGY-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
